"marker" "inflation"
"Kallikrein.7_seq.3378.49" Inf
"kallikrein.8_seq.13708.56" Inf
"kallikrein.8_seq.2834.54" Inf
"Kallistatin_seq.14105.5" Inf
"Kallistatin_seq.3449.58" Inf
"KCRU_seq.15542.19" 26.2262449598128
"L.plastin_seq.17231.1" Inf
"L.plastin_seq.9749.190" 144.174663217632
"LACB2_seq.22381.1" 38.9528129731006
"Layilin_seq.2635.61" 50.622648230308
"LECT2_seq.16763.11" Inf
"Leptin_seq.2575.5" Inf
"Leptin_seq.8484.24" Inf
"LG3BP_seq.5000.52" 74.6115995654397
"LIF.sR_seq.5837.49" 98.3986035056469
"Lipocalin.2_seq.2836.68" Inf
"LIPP_seq.15613.16" Inf
"LIPR2_seq.15471.29" Inf
"LIRA2_seq.15614.168" 117.108126116495
"LIRA3_seq.6391.52" Inf
"LIRA5_seq.7787.25" Inf
"LIRA6_seq.7059.14" Inf
"LIRB5_seq.7015.8" Inf
"LPLC1_seq.11246.3" Inf
"LPLC1_seq.15367.38" Inf
"LRIG1_seq.18831.6" 148.144840464304
"LRP11_seq.15472.16" 30.9441808663655
"LRP11_seq.6713.4" 39.7801665341197
"LRP11_seq.8330.1" 27.0214510674244
"LRTM2_seq.8906.60" 30.5749462224209
"LTB4DH_seq.19617.5" Inf
"LY75_seq.16620.26" 128.017650279125
"Lymphotactin_seq.14078.69" Inf
"LYVE1_seq.3206.4" 74.4652635909988
"M.CSF.R_seq.13682.47" 92.6751403395789
"M.CSF.R_seq.2638.12" 105.486194560905
"MA1A2_seq.9077.10" 30.2823585253265
"MA2B2_seq.9251.28" Inf
"Macrophage.mannose.receptor_seq.2637.77" 99.973209604415
"MANS1_seq.9557.5" 12.0418543037082
"Marapsin_seq.15535.3" 73.783842701635
"MARCO_seq.20134.27" Inf
"MATN2_seq.3325.2" Inf
"MATN3_seq.19361.78" 101.802682922422
"MCP.1_seq.2578.67" Inf
"MDGA1_seq.16900.29" 133.874811372516
"MDHC_seq.3853.56" 20.6950874178326
"MESD2_seq.15299.102" 15.0004383514324
"Met_seq.2837.3" 26.6097875113161
"MFGM_seq.4455.89" 74.5595518978113
"MIA_seq.2687.2" Inf
"MIC.1_seq.4374.45" Inf
"MIF_seq.5356.2" Inf
"MIG_seq.9188.119" Inf
"MIP.5_seq.14109.15" Inf
"MIP.5_seq.18289.16" Inf
"MMP.1_seq.4924.32" Inf
"MMP.10_seq.8479.4" Inf
"MMP.12_seq.4496.60" Inf
"MMP.7_seq.2789.26" Inf
"MMP.8_seq.9172.69" Inf
"Mn.SOD_seq.5008.51" 19.6775987180449
"MPIF.1_seq.2913.1" Inf
"MSP_seq.4407.10" Inf
"MUC18_seq.20512.2" 115.885991911637
"MXRA8.ECD_seq.10521.10" Inf
"MYOC_seq.16558.2" Inf
"Myoglobin_seq.3042.7" Inf
"NAGPA_seq.11208.15" 16.864200060609
"NAP.2_seq.2790.54" Inf
"NAR3_seq.10970.3" 43.528886665269
"NAR3_seq.7970.315" 63.0629183719881
"NB5R2_seq.19143.38" Inf
"NCAM.L1_seq.4246.40" 30.4414802102985
"NCAM1_seq.20161.41" 35.5345109982421
"nectin.1.gamma.ECD_seq.20584.4" 14.4157835713877
"NELL1_seq.6544.33" 68.7480421231602
"NEO1_seq.8900.28" 17.9569452359285
"NEU1_seq.8356.88" Inf
"NEUG_seq.18303.39" 8.2673116067263
"Neuropilin.2_seq.15387.44" 61.4178446011196
"Neuropilin.2_seq.6590.54" 32.1344045134259
"NFASC_seq.7179.69" 47.0756482378592
"NFL_seq.10082.251" 106.89851888002
"NID2_seq.16060.99" Inf
"NID2_seq.3633.70" Inf
"Nidogen_seq.3213.65" 138.065380618079
"Nogo.Receptor_seq.5105.2" 91.198289387742
"Notch.1_seq.5107.7" 25.930465556748
"Notch.3_seq.5108.72" 23.4772361673744
"NPTN_seq.7194.36" 12.5725826412356
"NPTX1_seq.9256.78" Inf
"NPTX2_seq.6521.35" 67.220428563599
"NRP1_seq.3214.3" 32.7309385862213
"NRP1_seq.5542.22" 65.627108730951
"NSE_seq.10339.48" 59.4227763716255
"NSF1C_seq.4250.23" 15.2511352828946
"NT5C_seq.12560.9" Inf
"OBP2B_seq.5680.54" Inf
"OLR1_seq.3636.37" 17.8533187080508
"OLR1_seq.7893.19" 17.3354891679559
"OMD_seq.5358.3" Inf
"OMD_seq.5725.1" Inf
"OMP_seq.18240.6" Inf
"OPG_seq.8304.50" Inf
"OX2G_seq.5112.73" 84.9621851595161
"P.Selectin_seq.4154.57" Inf
"PACAP_seq.16322.10" Inf
"PAFAH_seq.5015.15" 140.571211831381
"PAI.1_seq.2925.9" Inf
"Pancreatic.alpha.amylase_seq.18917.53" 80.0855327037028
"PAP1_seq.15304.1" Inf
"PARC_seq.3044.3" Inf
"PARK7_seq.19523.215" 68.103791873294
"PBP_seq.16765.52" Inf
"PCD17_seq.21395.23" 54.5858675908313
"PCDH1_seq.24967.4" 47.0090833068671
"PCDH9_seq.10558.26" 42.8800080291387
"PCI_seq.3389.7" Inf
"PCOC1_seq.11237.49" 124.481793339673
"PCSK9_seq.5231.79" 131.40977719768
"PCSK9_seq.8246.9" 124.141872507307
"PDGFRA_seq.10366.11" 46.6070175688801
"PDIA4_seq.20525.200" 68.6377407810906
"PEAR1.ECD_seq.8275.31" 89.8007845374441
"Periostin_seq.3457.57" Inf
"Periostin_seq.6645.53" Inf
"PERL_seq.4801.13" Inf
"Perlecan_seq.15626.223" 87.3619499352268
"Peroxiredoxin.1_seq.3855.56" 65.1792038635165
"PGRP.L_seq.5601.2" Inf
"PGRP.S_seq.3329.14" Inf
"PHI_seq.4272.46" 65.8353204334444
"PHS_seq.11313.100" 144.174663217632
"PIGR_seq.3216.2" Inf
"Plasminogen_seq.4151.6" Inf
"PlGF_seq.3078.1" Inf
"PLXA4_seq.19560.23" 42.7387860366369
"PLXB2_seq.9216.100" 75.0402814783078
"PPA6_seq.5742.14" 138.065380618079
"Pregnancy.zone.protein_seq.6580.29" Inf
"Prekallikrein_seq.4152.58" Inf
"PRL_seq.2585.2" Inf
"PRND_seq.18231.147" Inf
"Properdin_seq.2960.66" Inf
"PROSC_seq.20439.14" 118.727631060915
"Prostasin_seq.15513.108" 151.149146819566
"prostatic.binding.protein_seq.4276.10" 15.5773018205573
"Protease.nexin.I_seq.3217.74" Inf
"Protein.disulfide.isomerase.A3_seq.7832.181" 29.6971568139407
"PRTG_seq.21397.21" 79.873325814526
"Pseudocholinesterase_seq.15514.26" 111.451817150015
"Pseudocholinesterase_seq.8239.223" 97.3095001791195
"PSP.94_seq.10620.21" Inf
"PSP_seq.13095.51" Inf
"QORX_seq.17748.21" 83.2964375148361
"QSCN6_seq.6217.23" 73.5466693417001
"RANK_seq.5424.55" 23.60412387763
"REG1B_seq.16770.3" Inf
"REG4_seq.11102.22" Inf
"RELT_seq.14112.40" 34.7951458211005
"RELT_seq.5115.31" 12.9533538671181
"Renin_seq.3396.54" Inf
"resistin_seq.3046.31" Inf
"RET_seq.3220.40" 112.703868966447
"RGMA_seq.5483.1" 26.6949543861816
"Ribonuclease.UK114_seq.14636.25" 12.99218753101
"RNAS4_seq.5644.60" Inf
"RNT2_seq.16913.8" Inf
"ROBO1_seq.5740.17" 28.8508541582633
"ROBO2_seq.22578.17" 18.2004424895446
"ROBO2_seq.5116.62" 44.6124454074478
"ROR1_seq.2590.69" 74.0349219269657
"ROR1_seq.8474.6" 59.2536523226671
"RSPO3_seq.13094.75" 30.7187099181748
"RSPO3_seq.8427.118" 48.622778011233
"RWDD1_seq.21323.2" 77.3168322588529
"SAA.4_seq.15516.12" Inf
"SAP_seq.2474.54" Inf
"SARP.2_seq.14042.11" 106.556535318405
"SARP.2_seq.3221.54" Inf
"sCD14_seq.16914.104" 93.371680874507
"sCD163_seq.5028.59" 58.4728910327574
"SCF.sR_seq.2475.1" 97.893653660729
"SCF_seq.9377.25" 89.2235066784795
"SCGF.alpha_seq.4500.50" Inf
"SCGF.beta_seq.2966.65" 132.298221248744
"SCN2B_seq.8353.15" 18.9876108685906
"sE.Selectin_seq.3470.1" Inf
"SEM4D_seq.5737.61" 46.4500546123668
"Semaphorin.7A_seq.7019.13" 125.232579754463
"Serpin.B1_seq.10737.96" 37.0935851581474
"Serpin.B9_seq.21221.67" 105.152565939259
"SEZ6L_seq.19563.3" 21.5736048118415
"SFRP4_seq.17447.52" Inf
"SFRP4_seq.9284.25" Inf
"SHBG_seq.4929.55" Inf
"SHBG_seq.7909.37" Inf
"SIAE_seq.9263.57" Inf
"sICAM.5_seq.5124.62" 31.9726948418927
"sICAM.5_seq.5124.69" 28.9749945095042
"sICAM.5_seq.8245.27" 62.1898694868129
"Siglec.3_seq.3166.92" 147.266331600232
"Siglec.5_seq.16792.4" 137.473810711439
"Siglec.5_seq.23030.4" 131.429835342505
"Siglec.5_seq.9275.2" 126.109841956576
"Siglec.7_seq.2742.68" 134.613281350462
"SIRB1_seq.6247.9" Inf
"sL.Selectin_seq.4831.4" Inf
"sLFA.3_seq.10938.13" 107.05592225484
"SLIK1_seq.10743.13" 12.3074046151873
"SLIK1_seq.15539.15" 17.3910982713357
"SLIK2_seq.21385.5" 107.157802212252
"SLIK6_seq.16916.19" Inf
"sLRP1.ECD_seq.9182.3" 102.892507183929
"SMOC1_seq.13118.5" 52.8234453099764
"SMOC1_seq.5694.57" 8.87938835626185
"SMOC2_seq.15635.4" 96.433168838435
"SP.D_seq.19590.46" Inf
"SPA9_seq.7266.4" Inf
"SPHM_seq.21766.50" Inf
"Spinesin_seq.8002.27" Inf
"SPON2_seq.8099.42" Inf
"Spondin.1_seq.4297.62" 21.1742823281087
"Spondin.1_seq.5496.49" 34.4297939828012
"SREC.I_seq.5129.12" 37.0412247924192
"SREC.II.ECD_seq.8956.96" 75.8571668081313
"Stanniocalcin.1_seq.4930.21" 148.144840464304
"sTie.1_seq.2844.53" 42.1614363069577
"STX8_seq.10903.50" 12.0688774360588
"suPAR_seq.2652.15" 11.3141712201086
"SV2A_seq.12880.1" 9.2678156756981
"SYT1_seq.21328.2" 12.7502338821075
"SYWC_seq.9870.17" 79.2220090888733
"T106A_seq.10499.1" Inf
"TAFI_seq.3518.54" Inf
"TAJ_seq.5131.15" 82.5308935207926
"TAXB1_seq.12721.4" 11.3040281544024
"Tenascin_seq.5738.25" 149.646993641935
"Tenascin_seq.6260.14" 128.306563983032
"TENR_seq.11302.237" 75.4954188115102
"Testican.1_seq.11487.4" 37.9724898095409
"TFAR19_seq.12517.52" 26.4294346429707
"TFF3_seq.4721.54" 101.649174284924
"TFF3_seq.8323.163" 115.438603510072
"TFPI..2_seq.9233.71" 88.1209583110164
"Thioredoxin.reductase.1_seq.13967.14" 17.0247302024726
"Thyroxine.Binding.Globulin_seq.2706.69" Inf
"TIM.4_seq.15449.33" Inf
"TIMD3_seq.5134.52" 65.6546395496136
"TIMD3_seq.7152.5" 49.6445462385488
"TIMP.1_seq.2211.9" Inf
"TIMP.1_seq.23173.3" Inf
"TIMP.3_seq.2480.58" 58.2819952987188
"TIMP.4_seq.6462.12" Inf
"Tissue.transglutaminase_seq.18934.50" Inf
"TLR1.ECD_seq.16324.38" Inf
"TLR3_seq.16918.198" Inf
"TNF.sR.I_seq.2654.19" 27.3524243483587
"TNF.sR.II_seq.3152.57" 28.6342174885765
"TNF.sR.II_seq.8368.102" 27.1669420467909
"TPP1_seq.17691.1" Inf
"TRAIL.R2_seq.7693.13" 94.9864122604283
"Transaldolase_seq.11347.9" 36.7990164233899
"TrATPase_seq.3232.28" Inf
"Trefoil.factor.2_seq.9191.8" Inf
"TREM2_seq.11851.21" 83.2896836397137
"TREM2_seq.16300.4" 95.2310376215806
"TREM2_seq.5635.66" 103.510218311342
"TrkB_seq.4866.59" 31.8604557257691
"TrkC_seq.2658.27" 16.1005980931767
