"V1" "V2"
"257" "TG(54:4/FA18:2)" "TG.54.4.FA18.2."
"258" "TG(54:4/FA20:2)" "TG.54.4.FA20.2."
"259" "TG(54:5/FA18:2)" "TG.54.5.FA18.2."
"260" "TG(54:5/FA20:3)" "TG.54.5.FA20.3."
"261" "TG(54:6/FA18:2)" "TG.54.6.FA18.2."
"262" "TG(54:6/FA20:4)" "TG.54.6.FA20.4."
"263" "TG(54:7/FA18:2)" "TG.54.7.FA18.2."
"264" "TG(54:7/FA20:5)" "TG.54.7.FA20.5."
"265" "TG(56:4/FA18:2)" "TG.56.4.FA18.2."
"266" "TG(56:4/FA22:2)" "TG.56.4.FA22.2."
"267" "TG(56:6/FA18:2)" "TG.56.6.FA18.2."
"268" "TG(56:6/FA22:4)" "TG.56.6.FA22.4."
"269" "TG(56:7/FA18:2)" "TG.56.7.FA18.2."
"270" "TG(56:7/FA22:5)" "TG.56.7.FA22.5."
"271" "TG(56:8/FA16:0)" "TG.56.8.FA16.0."
"272" "TG(56:8/FA18:2)" "TG.56.8.FA18.2."
"273" "TG(56:8/FA22:6)" "TG.56.8.FA22.6."
"274" "TG(52:6/FA18:3)" "TG.52.6.FA18.3."
"275" "TG(54:5/FA18:3)" "TG.54.5.FA18.3."
"276" "TG(54:5/FA20:2)" "TG.54.5.FA20.2."
"277" "TG(54:6/FA18:3)" "TG.54.6.FA18.3."
"278" "TG(54:6/FA20:3)" "TG.54.6.FA20.3."
"279" "TG(54:7/FA18:3)" "TG.54.7.FA18.3."
"280" "TG(54:7/FA20:4)" "TG.54.7.FA20.4."
"281" "TG(54:8/FA16:0)" "TG.54.8.FA16.0."
"282" "TG(54:8/FA18:3)" "TG.54.8.FA18.3."
"283" "TG(54:8/FA20:5)" "TG.54.8.FA20.5."
"284" "TG(56:5/FA18:3)" "TG.56.5.FA18.3."
"285" "TG(56:5/FA22:2)" "TG.56.5.FA22.2."
"286" "TG(56:7/FA18:3)" "TG.56.7.FA18.3."
"287" "TG(56:7/FA22:4)" "TG.56.7.FA22.4."
"288" "TG(56:8/FA18:3)" "TG.56.8.FA18.3."
"289" "TG(56:8/FA22:5)" "TG.56.8.FA22.5."
"290" "TG(56:9/FA16:0)" "TG.56.9.FA16.0."
"291" "TG(56:9/FA18:3)" "TG.56.9.FA18.3."
"292" "TG(56:9/FA22:6)" "TG.56.9.FA22.6."
"293" "TG(56:4/FA20:2)" "TG.56.4.FA20.2."
"294" "TG(56:5/FA20:2)" "TG.56.5.FA20.2."
"295" "TG(56:5/FA20:3)" "TG.56.5.FA20.3."
"296" "TG(56:6/FA20:2)" "TG.56.6.FA20.2."
"297" "TG(56:6/FA20:4)" "TG.56.6.FA20.4."
"298" "TG(56:7/FA20:2)" "TG.56.7.FA20.2."
"299" "TG(56:7/FA20:5)" "TG.56.7.FA20.5."
"300" "TG(58:4/FA16:0)" "TG.58.4.FA16.0."
"301" "TG(58:4/FA20:2)" "TG.58.4.FA20.2."
"302" "TG(58:4/FA22:2)" "TG.58.4.FA22.2."
"303" "TG(58:6/FA16:0)" "TG.58.6.FA16.0."
"304" "TG(58:6/FA20:2)" "TG.58.6.FA20.2."
"305" "TG(58:6/FA22:4)" "TG.58.6.FA22.4."
"306" "TG(58:7/FA16:0)" "TG.58.7.FA16.0."
"307" "TG(58:7/FA20:2)" "TG.58.7.FA20.2."
"308" "TG(58:7/FA22:5)" "TG.58.7.FA22.5."
"309" "TG(58:8/FA16:0)" "TG.58.8.FA16.0."
"310" "TG(58:8/FA20:2)" "TG.58.8.FA20.2."
"311" "TG(58:8/FA22:6)" "TG.58.8.FA22.6."
"312" "TG(56:6/FA20:3)" "TG.56.6.FA20.3."
"313" "TG(56:7/FA20:3)" "TG.56.7.FA20.3."
"314" "TG(56:7/FA20:4)" "TG.56.7.FA20.4."
"315" "TG(56:8/FA20:3)" "TG.56.8.FA20.3."
"316" "TG(56:8/FA20:5)" "TG.56.8.FA20.5."
"317" "TG(58:5/FA16:0)" "TG.58.5.FA16.0."
"318" "TG(58:5/FA20:3)" "TG.58.5.FA20.3."
"319" "TG(58:5/FA22:2)" "TG.58.5.FA22.2."
"320" "TG(58:7/FA20:3)" "TG.58.7.FA20.3."
"321" "TG(58:7/FA22:4)" "TG.58.7.FA22.4."
"322" "TG(58:8/FA20:3)" "TG.58.8.FA20.3."
"323" "TG(58:8/FA22:5)" "TG.58.8.FA22.5."
"324" "TG(58:9/FA16:0)" "TG.58.9.FA16.0."
"325" "TG(58:9/FA20:3)" "TG.58.9.FA20.3."
"326" "TG(58:9/FA22:6)" "TG.58.9.FA22.6."
"327" "TG(56:8/FA20:4)" "TG.56.8.FA20.4."
"328" "TG(56:9/FA20:4)" "TG.56.9.FA20.4."
"329" "TG(56:9/FA20:5)" "TG.56.9.FA20.5."
"330" "TG(58:6/FA20:4)" "TG.58.6.FA20.4."
"331" "TG(58:6/FA22:2)" "TG.58.6.FA22.2."
"332" "TG(58:8/FA20:4)" "TG.58.8.FA20.4."
"333" "TG(58:8/FA22:4)" "TG.58.8.FA22.4."
"334" "TG(58:9/FA20:4)" "TG.58.9.FA20.4."
"335" "TG(58:9/FA22:5)" "TG.58.9.FA22.5."
"336" "TG(58:10/FA16:0)" "TG.58.10.FA16.0."
"337" "TG(58:10/FA20:4)" "TG.58.10.FA20.4."
"338" "TG(58:10/FA22:6)" "TG.58.10.FA22.6."
"339" "TG(56:10/FA16:0)" "TG.56.10.FA16.0."
"340" "TG(56:10/FA20:5)" "TG.56.10.FA20.5."
"341" "TG(58:7/FA20:5)" "TG.58.7.FA20.5."
"342" "TG(58:7/FA22:2)" "TG.58.7.FA22.2."
"343" "TG(58:9/FA20:5)" "TG.58.9.FA20.5."
"344" "TG(58:9/FA22:4)" "TG.58.9.FA22.4."
"345" "TG(58:10/FA20:5)" "TG.58.10.FA20.5."
"346" "TG(58:10/FA22:5)" "TG.58.10.FA22.5."
"347" "TG(58:11/FA16:0)" "TG.58.11.FA16.0."
"348" "TG(58:11/FA20:5)" "TG.58.11.FA20.5."
"349" "TG(58:11/FA22:6)" "TG.58.11.FA22.6."
"350" "TG(60:4/FA16:0)" "TG.60.4.FA16.0."
"351" "TG(60:4/FA22:2)" "TG.60.4.FA22.2."
"352" "TG(60:6/FA16:0)" "TG.60.6.FA16.0."
"353" "TG(60:6/FA22:2)" "TG.60.6.FA22.2."
"354" "TG(60:6/FA22:4)" "TG.60.6.FA22.4."
"355" "TG(60:7/FA16:0)" "TG.60.7.FA16.0."
"356" "TG(60:7/FA22:2)" "TG.60.7.FA22.2."
"357" "TG(60:7/FA22:5)" "TG.60.7.FA22.5."
"358" "TG(60:8/FA16:0)" "TG.60.8.FA16.0."
"359" "TG(60:8/FA22:2)" "TG.60.8.FA22.2."
"360" "TG(60:8/FA22:6)" "TG.60.8.FA22.6."
"361" "TG(60:8/FA22:4)" "TG.60.8.FA22.4."
"362" "TG(60:9/FA16:0)" "TG.60.9.FA16.0."
"363" "TG(60:9/FA22:4)" "TG.60.9.FA22.4."
"364" "TG(60:9/FA22:5)" "TG.60.9.FA22.5."
"365" "TG(60:10/FA16:0)" "TG.60.10.FA16.0."
"366" "TG(60:10/FA22:4)" "TG.60.10.FA22.4."
"367" "TG(60:10/FA22:6)" "TG.60.10.FA22.6."
"368" "TG(60:10/FA22:5)" "TG.60.10.FA22.5."
"369" "TG(60:11/FA16:0)" "TG.60.11.FA16.0."
"370" "TG(60:11/FA22:5)" "TG.60.11.FA22.5."
"371" "TG(60:11/FA22:6)" "TG.60.11.FA22.6."
"372" "TG(60:12/FA16:0)" "TG.60.12.FA16.0."
"373" "TG(60:12/FA22:6)" "TG.60.12.FA22.6."
"374" "TG(48:3/FA16:1)" "TG.48.3.FA16.1."
"375" "TG(50:2/FA18:0)" "TG.50.2.FA18.0."
"376" "TG(50:3/FA18:1)" "TG.50.3.FA18.1."
"377" "TG(50:4/FA18:2)" "TG.50.4.FA18.2."
"378" "TG(50:5/FA16:1)" "TG.50.5.FA16.1."
"379" "TG(50:5/FA18:3)" "TG.50.5.FA18.3."
"380" "TG(52:4/FA20:2)" "TG.52.4.FA20.2."
"381" "TG(52:5/FA20:3)" "TG.52.5.FA20.3."
"382" "TG(52:6/FA20:4)" "TG.52.6.FA20.4."
"383" "TG(52:7/FA16:1)" "TG.52.7.FA16.1."
"384" "TG(52:7/FA20:5)" "TG.52.7.FA20.5."
"385" "TG(54:4/FA16:1)" "TG.54.4.FA16.1."
"386" "TG(54:4/FA22:2)" "TG.54.4.FA22.2."
"387" "TG(54:6/FA22:4)" "TG.54.6.FA22.4."
"388" "TG(54:7/FA22:5)" "TG.54.7.FA22.5."
"389" "TG(54:8/FA16:1)" "TG.54.8.FA16.1."
"390" "TG(54:8/FA22:6)" "TG.54.8.FA22.6."
"391" "TG(52:1/FA16:1)" "TG.52.1.FA16.1."
"392" "TG(52:2/FA16:1)" "TG.52.2.FA16.1."
"393" "TG(52:4/FA18:0)" "TG.52.4.FA18.0."
"394" "TG(54:6/FA18:0)" "TG.54.6.FA18.0."
"395" "TG(56:3/FA16:1)" "TG.56.3.FA16.1."
"396" "TG(56:3/FA18:0)" "TG.56.3.FA18.0."
"397" "TG(56:5/FA16:1)" "TG.56.5.FA16.1."
"398" "TG(56:6/FA16:1)" "TG.56.6.FA16.1."
"399" "TG(56:7/FA16:1)" "TG.56.7.FA16.1."
"400" "TG(56:7/FA18:0)" "TG.56.7.FA18.0."
"401" "TG(52:5/FA18:1)" "TG.52.5.FA18.1."
"402" "TG(54:7/FA18:1)" "TG.54.7.FA18.1."
"403" "TG(56:4/FA16:1)" "TG.56.4.FA16.1."
"404" "TG(56:4/FA18:1)" "TG.56.4.FA18.1."
"405" "TG(56:8/FA16:1)" "TG.56.8.FA16.1."
"406" "TG(56:8/FA18:1)" "TG.56.8.FA18.1."
"407" "TG(52:6/FA18:2)" "TG.52.6.FA18.2."
"408" "TG(54:8/FA18:2)" "TG.54.8.FA18.2."
"409" "TG(56:5/FA18:2)" "TG.56.5.FA18.2."
"410" "TG(56:9/FA16:1)" "TG.56.9.FA16.1."
"411" "TG(56:9/FA18:2)" "TG.56.9.FA18.2."
"412" "TG(52:7/FA18:3)" "TG.52.7.FA18.3."
"413" "TG(54:6/FA20:2)" "TG.54.6.FA20.2."
"414" "TG(54:7/FA20:3)" "TG.54.7.FA20.3."
"415" "TG(54:8/FA20:4)" "TG.54.8.FA20.4."
"416" "TG(54:9/FA16:1)" "TG.54.9.FA16.1."
"417" "TG(54:9/FA18:3)" "TG.54.9.FA18.3."
"418" "TG(54:9/FA20:5)" "TG.54.9.FA20.5."
